"","country","total_consumption","recorded_consumption","unrecorded_consumption","beer_percentage","wine_percentage","spirits_percentage","other_percentage","X2020_projection","X2025_projection"
"37","Laos",10.4,7,3.4,50.1,0,49.8,0,10.5,10.9
"38","South Korea",10.2,9.1,1.2,22.2,1.9,7.1,68.9,10.4,10.6
"39","Spain",10,8.5,1.8,54.2,18,27.8,0,9.6,8.9
"40","Eswatini",9.9,7.4,2.7,24.6,16.1,0,59.3,10,10.1
"41","Saint Lucia",9.9,9.7,1.5,35.4,13.2,50,1.4,9.6,9.1
"42","Argentina",9.8,8.4,1.3,39.9,40.2,9.6,10.3,10,10.3
"43","Georgia",9.8,7.4,2.3,18.4,43,38.5,0.1,10.5,11.6
"44","Namibia",9.8,7.8,2,60.2,10.4,13.9,15.6,9.2,8.5
"45","United States",9.8,8.8,0.8,47,18.1,34.9,0,10.1,10.3
"46","Barbados",9.6,9.2,1.4,37.6,10.5,50,1.9,9.9,10.5
"47","Uganda",9.5,7.6,1.8,11,0.1,3.1,85.8,9.8,10.3
"48","Saint Kitts and Nevis",9.4,8.9,0.5,47.8,6.5,43.4,2.3,9.7,10.3
"49","Tanzania",9.4,6.2,3.2,12.2,0.4,1.6,85.8,9.6,9.9
"50","Chile",9.3,7.9,1.4,36.1,33.1,30.8,0,9.2,9.1
"51","Grenada",9.3,8.8,1.4,40.9,7,48.3,3.8,9.4,9.6
"52","South Africa",9.3,7.1,2.2,56,18.5,17.8,7.6,9.2,9
"53","Sweden",9.2,7.2,2,36.4,47.8,14.1,1.7,9.8,10.1
"54","Iceland",9.1,7.7,1.5,56.5,27.9,15.5,0,9.5,10.6
"55","Rwanda",9,6.9,2.1,14.8,0.2,2.7,82.3,8.4,7.6
"56","Cameroon",8.9,6.5,2.4,43.5,1.4,0.1,54.9,9.5,10.2
"57","Canada",8.9,8.1,0.9,45.1,25.6,25.6,3.7,9.1,9.2
"58","Croatia",8.9,9.9,1.4,44.5,39,13,3.5,8.8,8.2
"59","Netherlands",8.7,7.5,0.6,47.8,35.8,16.4,0,9,8.8
"60","Ukraine",8.6,5.4,3.1,42.3,5.4,51.5,0.8,9.5,10
"61","Botswana",8.4,6.2,2.2,48.1,23.5,4.4,24,10,11.8
"62","Ivory Coast",8.4,4.8,3.6,21.9,5,0.2,72.9,8.4,8.5
